85,149,48,18
112,17,5,0
98,45,13,0
89,162,136,58
105,7,0,0
119,18,2,0
106,149,106,43
99,379,674,540
112,51,9,0
104,37,9,1
101,17,2,0
99,27,9,0
98,46,10,4
105,11,0,0
99,1,0,0
103,511,872,719
100,88,18,4
104,7,0,0
100,117,49,11
114,251,231,82
94,335,539,390
91,29,4,0
102,65,20,5
82,713,1722,2154
103,26,3,0
92,123,75,18
98,20,3,0
86,58,9,4
68,201,187,92
80,23,0,0
114,35,18,1
85,30,4,0
105,196,110,46
91,24,3,0
93,454,708,768
117,55,9,1
89,55,11,2
103,118,57,10
85,5,1,0
107,99,32,4
112,18,0,0
100,406,600,504
97,181,74,38
105,17,0,0
90,228,171,63
118,57,8,0
90,78,20,2
95,52,14,3
99,21,3,0
89,10,1,0
91,5,0,0
106,26,10,0
93,25,4,0
106,4,0,0
86,330,313,201
104,46,7,2
91,4,0,0
83,196,224,96
87,38,5,0
96,11,0,0
115,34,3,0
126,14,0,0
109,61,22,5
103,41,13,1
118,13,2,0
95,28,11,0
103,93,19,5
87,82,52,6
97,39,11,0
109,4,0,0
102,105,77,10
107,87,19,4
96,39,11,0
99,24,0,0
101,175,122,57
100,206,177,66
102,82,10,2
129,45,6,0
85,155,94,23
102,24,3,1
101,27,7,1
95,12,2,0
93,32,1,0
89,205,148,32
92,24,1,0
85,136,57,13
87,15,6,0
89,161,94,49
96,466,721,539
109,275,291,126
73,2,0,0
121,38,2,0
107,81,23,2
101,81,20,3
104,4,0,0
112,99,41,6
101,60,30,4
98,52,10,2
105,53,16,1
98,9,2,0
105,20,3,0
94,9,0,0
95,189,145,38
97,23,3,0
110,106,46,9
121,130,55,19
113,85,19,1
103,47,8,1
94,133,71,39
95,15,1,0
94,47,2,0
106,24,6,0
101,48,17,2
101,331,467,333
120,6,0,0
109,142,59,18
77,87,28,5
109,215,218,138
105,89,15,4
85,36,8,0
132,28,1,0
108,137,82,22
98,329,300,133
99,12,3,0
107,3,0,0
97,37,10,4
82,31,8,0
96,67,12,0
109,46,10,0
89,1,0,0
106,22,0,0
105,12,1,0
115,11,0,0
110,268,258,145
75,80,21,0
79,72,38,7
94,23,3,0
103,123,49,25
97,41,8,0
103,207,209,101
88,20,0,0
93,89,19,0
117,228,198,65
95,53,3,2
104,19,5,0
86,52,6,0
96,90,22,5
91,17,1,0
100,113,38,3
109,8,0,0
101,212,121,37
107,468,686,532
108,141,85,12
103,170,114,35
97,31,8,1
103,24,6,0
125,94,31,3
108,47,8,0
102,103,52,15
103,8,1,0
122,16,1,0
101,276,288,113
91,164,108,29
100,77,8,1
108,121,68,16
108,42,14,0
88,26,2,0
103,157,71,18
106,19,0,0
84,74,32,5
97,139,42,19
96,55,4,0
115,27,3,0
107,36,6,0
91,34,9,0
94,122,41,4
101,16,0,0
130,87,34,3
104,80,30,6
86,19,1,3
109,112,76,11
83,56,2,0
122,33,8,0
111,216,202,52
115,31,2,0
101,16,0,0
111,37,6,0
108,22,9,0
103,21,2,1
103,41,1,0
108,33,0,0
112,73,19,1
98,253,156,71
91,144,61,7
109,2,0,0
106,17,0,0
115,14,0,0
101,9,0,0
98,65,14,3
86,12,0,0
109,150,98,24
120,2,0,0
101,17,1,0
100,186,124,46
96,119,42,7
121,61,12,0
97,81,46,4
96,5,0,0
97,6,0,0
117,62,10,2
96,69,13,4
120,83,51,5
92,21,0,0
85,137,56,8
106,32,9,7
108,9,2,0
118,12,0,0
120,9,1,0
116,38,4,0
104,76,15,3
106,45,7,0
97,24,3,0
126,17,0,0
95,29,3,0
97,110,44,12
88,112,34,8
96,27,4,0
108,40,1,0
87,68,32,2
103,237,164,76
111,10,0,0
122,4,0,0
91,129,44,4
91,207,262,132
105,64,13,1
101,103,44,13
102,836,2780,4980
87,59,14,3
97,63,6,0
129,358,431,271
82,23,4,0
94,75,20,2
98,66,9,5
92,77,19,1
